"","Symbol","subject","subject.inphase","subject.outphase","tissue","tissue.inphase","tissue.outphase","Residuals","ProbeName","EntrezID"
"1","PLVAP",0,0.00152567074620404,0.00871393203059778,0.956033841406747,0.00409150563626444,0.00238364459315798,0.027251405587029,"A_23_P56328","83483"
"2","TSHZ3",1.75053041852246e-06,9.6146236686585e-05,0.000800593046402835,0.963128827522787,0.000584165745524449,0.00351160167202465,0.0318769152461564,"A_23_P361014","57616"
"3","GIMAP1",3.88363581896297e-05,0.000984033960170471,0.00093284617697329,0.974740780838905,5.23216385531694e-05,0.00313769288355604,0.0201134881436526,"A_23_P427023","170575"
"4","AADACL2",0.000113631620289616,0.000139200919258566,1.10321842636333e-06,0.992960276577818,7.29945271998648e-05,0.00161577343459746,0.00509701970241011,"A_23_P91970","344752"
"5","TEK",0.000166979879210185,0.000732850977022127,7.08941388991963e-05,0.977434700158216,0.00280089252248391,0.000480396113987942,0.0183132862101804,"A_23_P374695","7010"
"6","CFTR",0.000488608920799076,0.0110546524985393,7.53704666451576e-05,0.912705616951982,0.00201944565265575,0.00642194433889261,0.0672343611704862,"A_23_P215720","1080"
"7","HES5",0.000697185281529077,0.000284573880580365,8.83476230270089e-05,0.992138413625873,0.00101068175973588,0.00154561110507101,0.00423518672418351,"A_32_P234184","388585"
"8","CYYR1",0.0007423432991166,0.000989406846947413,0.00225802523643965,0.961696697715777,0.00411793746895587,0.000380201029678382,0.0298153884030854,"A_24_P391230","116159"
"9","EMX2",0.00074823808822082,3.76542286604944e-05,0.000168839375104342,0.99060535545624,0.00114623922434964,0.000948774203561488,0.00634489942386301,"A_23_P44264","2018"
"10","ADAMTSL2",0.000758178643809948,0.00317118357625033,0.00517476780273671,0.248012729600734,0.000599175068246993,0.14008814777613,0.602195817532092,"A_23_P20697","9719"
"11","ADK",0.000776726076607895,0.00185611107422517,7.15577987617764e-05,0.975882430653611,0.000929015923160816,0.0107488573544375,0.00973530111919552,"A_23_P112596","132"
"12","JAM2",0.000840090429906887,9.11532205176758e-07,0.00370436886211468,0.979167591718162,5.64907933990236e-05,0.00289931236410403,0.0133312343001085,"A_32_P310335","58494"
"13","MCAM",0.000840717155385045,0.00113369359945008,0.000646465714124522,0.959880313816482,0.00109787809088435,0.00332434091445312,0.0330765907092207,"A_23_P162171","4162"
"14","PLEKHO2",0.00092919249152225,1.37299346936428e-06,0.00127248939293632,0.976675235785843,0.00555088090888137,0.00142427985962768,0.0141465485677201,"A_23_P129246","80301"
"15","TBC1D1",0.000964306931327037,0.000224752254105261,0.000102507364494394,0.983282675530785,0.00231840667034653,0.00417426284278698,0.00893308840615475,"A_23_P73023","23216"
"16","PDGFRA",0.00104313716127872,0.000819009443917697,0.00434027216307447,0.961064383821342,0.00372051190058638,0.00191149485807222,0.0271011906517281,"A_23_P300033","5156"
"17","CNRIP1",0.00107856405768084,8.78563716398662e-05,0.00231856266757719,0.973915870411007,0.00240974526060293,0.00233792719628631,0.0178514740352062,"A_23_P329353","25927"
"18","SSPN",0.00109669713448982,0.000309198837008995,4.45901760480262e-06,0.972161738343006,0.00525579889436909,0.00151004384302151,0.0196620639304995,"A_23_P203920","8082"
"19","EMX2OS",0.0010973706980891,0.000178749808618174,0.000867332140559439,0.96895310761001,0.0010572457552001,0.0134814362322494,0.0143647577552736,"A_24_P892472","196047"
"20","IL37",0.00125077673206587,6.4958122720867e-05,0.000316407869389742,0.954780320610915,0.000511560255075696,0.00395110215923791,0.0391248742505951,"A_23_P5654","27178"
