"","ProbeName","Symbol","Amp","var_A_layer","sd_A_layer","cv_A_layer","var_A_subject","sd_A_subject","cv_A_subject","phase","var_phi_layer","sd_phi_layer","cv_phi_layer","var_phi_subject","sd_phi_subject","cv_phi_subject","magn","var_magn_layer","sd_magn_layer","cv_magn_layer","var_magn_subject","sd_magn_subject","cv_magn_subject"
"1","A_24_P287941","PSMC3IP",0.249638687332305,0.000507778189114765,0.0225339341685993,0.0902661939517545,0.0172262108692275,0.131248660447364,0.525754488817084,1.44673722039837,0.00129048255503457,0.0359232870856019,0.00149680362856675,0.195614100990146,0.44228282918303,0.0184284512159596,5.88924170547733,0.0109867821522765,0.104817852259415,0.0177981916011239,0.0532401912903835,0.230738361115753,0.0391796385095135
"2","A_24_P37441","PDK1",0.307428660188453,0.000335721026036591,0.0183226915609195,0.0595998159367697,0.000662841244751018,0.0257457034231154,0.0837452936474217,-8.84620135962258,0.0038354383533269,0.0619309159735822,0.00258045483223259,0.186131596865904,0.431429712544122,0.0179762380226717,8.4714951146994,0.657357614640243,0.810775933683433,0.0957063567535567,0.0265836711876157,0.163044997432045,0.019246307201327
"3","A_23_P129856","HIC1",0.103386415458048,0.0254467887237026,0.15952049624955,1.54295412547966,3.89755613847734e-05,0.00624304103660815,0.060385506248076,-1.45807591947779,1.62345736974508,1.27414966536317,0.053089569390132,0.378956686740005,0.615594579849437,0.0256497741603932,5.65402171610011,2.41548903332158,1.55418436271942,0.274881215665268,0.0265674209815344,0.162995156313108,0.0288281800985962
"4","A_32_P16258","EXOC6B",0.244689284362583,1.49446468832957e-09,3.86583068476824e-05,0.000157989373945767,0.0270675740730463,0.164522260114084,0.672372149612785,7.51463459204635,4.3760389056397e-09,6.61516356988979e-05,2.75631815412075e-06,0.0560853073387935,0.236823367383359,0.00986764030763997,7.71792988153565,0.960208130030886,0.979902102268837,0.126964369631441,0.0728835500349847,0.269969535383133,0.0349795268325781
"5","A_24_P333567","MAN1B1-DT",0.233198677095298,0.00221386034554957,0.0470516773935805,0.201766485040361,0.00074630402120272,0.0273185655041168,0.117147171863899,-7.19996779498307,0.0633204819075134,0.251635613352946,0.0104848172230394,0.214436619971621,0.463073017969759,0.0192947090820733,6.73247730463836,0.0389245863193931,0.197293148181565,0.0293046881933994,0.0148899718151265,0.122024472197697,0.0181247506194529
"6","A_23_P203920","SSPN",0.171566555115767,0.0156759272091548,0.125203543117417,0.729766608841298,0.00415515959300395,0.064460527402465,0.375717326485745,5.74757443872986,0.00233258574237931,0.0482968502324873,0.00201236875968697,0.0888607676117607,0.298095232453927,0.0124206346855803,8.4881333725599,3.27780829250942,1.81047184250665,0.213294462167556,0.00816065780997737,0.0903363592911369,0.010642664921262
"7","A_23_P112554","COL15A1",0.130570989504138,0.00612733079136977,0.0782772686759685,0.599499697239318,0.0029045977042728,0.0538943197774385,0.412758760442194,8.0139950740646,0.656114400906922,0.810008889399938,0.0337503703916641,1.22816960211649,1.10822813631332,0.0461761723463883,6.5544086695515,9.46569185417329,3.07663645141464,0.469399545638214,0.0596650256900634,0.244264253811448,0.0372671687296792
"8","A_23_P23639","MCOLN2",0.236221858535355,0.00667913875544479,0.0817259980388419,0.345971361607122,0.015933647280582,0.126228551764575,0.534364400260116,-9.15876741291142,0.101342315778315,0.318343078734743,0.013264294947281,0.108913291646392,0.330020138243702,0.0137508390934876,5.67029229906754,0.000567093503397444,0.0238137251054396,0.00419973501354695,0.155700618375612,0.394589176708653,0.0695888599558688
"9","A_23_P89431","CCL2",0.397689962370535,4.43760333881832e-11,6.66153386152042e-06,1.67505707758189e-05,0.0979867498345538,0.313028353084116,0.787116554861552,-0.840519451937119,1.40369216961438e-11,3.74658800725992e-06,1.5610783363583e-07,0.374013924246505,0.611566778239715,0.0254819490933215,8.35806671132802,1.68217620566159,1.29698735755657,0.155177914026304,0.066414037762786,0.257709211637431,0.0308335911327613
"10","A_23_P206724","MT1E",0.240099925273667,0.0214827570421541,0.146569973194219,0.610454055856776,0.00122434175450024,0.0349905952292933,0.145733469885136,-11.8697617152971,0.000433568021006046,0.0208222962471973,0.000867595676966553,0.17928813179866,0.423424292877322,0.0176426788698884,9.99858869707771,0.0023571599436498,0.0485505915890816,0.00485574445154159,0.0531718753705833,0.2305902759671,0.0230622823833622
"11","A_23_P150009","ZDHHC16",0.40197552909147,0.0065670348467721,0.0810372435783208,0.201597454853727,0.0424011349716685,0.205915358756137,0.512258443247874,1.31863684457993,0.00525600209154639,0.0724982902663669,0.00302076209443195,0.00348013803777578,0.0589926947831321,0.00245802894929717,7.72151819320396,0.00670438443571779,0.0818803055424061,0.0106041718083981,0.0257878594219311,0.160585987626353,0.0207972038151372
"12","A_23_P201939","PPM1J",0.167488701605846,0.0116155521902872,0.107775471190282,0.643479053553784,0.00193249313013887,0.0439601311433311,0.262466248301233,1.273586850214,0.0496721204632028,0.222872430917785,0.00928635128824104,0.0764792464826363,0.276548813923756,0.0115228672468232,7.73101279407715,1.53815303299629,1.24022297712802,0.160421798561526,0.0139965868226854,0.118307171476143,0.0153029330861772
"13","A_23_P214821","EDN1",0.137661048631615,0.0210565196397142,0.14510864770824,1.05410099044469,0.00306203173659133,0.0553356280943058,0.401970118957802,9.75301062459875,0.494387078614564,0.703126644790655,0.029296943532944,0.117329729845235,0.342534275431284,0.0142722614763035,9.2875022626265,0.426419347377268,0.653007922905433,0.0703103917974996,0.0578377134528278,0.240494726455338,0.0258944460690043
"14","A_23_P142187","HIF3A",0.104899862835179,0.0206506327389873,0.143703280195642,1.36990913345074,0.00012599324611256,0.0112246713142328,0.10700367961271,9.86213739275499,1.14308556585451,1.06915179738637,0.0445479915577656,0.0271464665871182,0.164761848093296,0.00686507700388732,6.8770571844155,0.290814604297084,0.539272291423436,0.0784161418121566,0.0275637686210453,0.166023397812011,0.0241416340390838
"15","A_24_P353638","SLAMF7",0.309080491418647,0.00230777094106409,0.0480392645766366,0.155426388628222,2.73689396684488e-05,0.0052315332043722,0.0169261190842554,2.47244252452891,0.0422755430940947,0.205610172642539,0.00856709052677246,0.000469617497656083,0.0216706598343494,0.000902944159764557,6.88550296707527,0.463522711044446,0.680825022340135,0.0988780377549276,0.0866191638949454,0.294311338373066,0.0427436223294635
"16","A_23_P134454","CAV1",0.112901654734711,0.00945846129435863,0.0972546209409025,0.861410057889982,1.38866583570479e-05,0.00372648069323428,0.0330064311456773,2.34132300481872,0.789675544058771,0.888636902260294,0.0370265375941789,0.00143482763101816,0.0378791186673893,0.00157829661114122,10.3026984187597,2.72642829443464,1.65118996315828,0.160267717839019,0.051606946141619,0.227171622659211,0.0220497207067194
"17","A_23_P7402","PDZD2",0.155304661789027,0.00922284126475926,0.0960356249771889,0.61836923548147,0.00439495085066976,0.0662944254871385,0.426866938335669,2.74557105673,0.292711431386933,0.541028124395519,0.02254283851648,0.0871255714400609,0.295170410847803,0.0122987671186585,9.09711576659735,0.821529541710272,0.906382668474123,0.0996340699326004,0.0331886939877549,0.182177644039423,0.0200258684965119
"18","A_23_P160567","ZMYND12",0.260337277079543,0.00212787887866129,0.0461289375409979,0.177189137331662,0.0289487885034541,0.170143435087735,0.653550029394174,2.22335090925544,0.0191286157812063,0.138306239126101,0.00576275996358755,0.0567574203355579,0.238238158856968,0.00992658995237366,5.08537011822075,0,0,0,0.0202721841083035,0.142380420382521,0.0279980447976394
