Item ID	Item value	Change in Kuiper test statistic when item removed
TRMT10A	13.0	-0.011111111111111294
TRMT10B	12.0	-0.011111111111111294
HENMT1	16.0	0.09999999999999987
METTL1	13.0	-0.011111111111111294
MEPCE	10.0	0.030555555555555447
BCDIN3D	11.0	-0.011111111111111294
TRMT13	12.0	-0.011111111111111294
TRMT2A	11.0	-0.011111111111111294
MRM1	12.0	-0.011111111111111294
TRMT1L	11.0	-0.011111111111111294
