"","Symbol","time","subject","Residuals"
"1","MCOLN2",0.158622347334152,0.478518090998452,0.362859561667396
"2","CCL2",0.203322756213547,0.0319127460285337,0.76476449775792
"3","ZDHHC16",0.511205729729231,0.0984614972656134,0.390332773005156
"4","EDN1",0.148432072399016,0.294326329019098,0.557241598581886
"5","HIF3A",0.271168107911068,0.290704805499764,0.438127086589167
"6","HSP90AA1",0.205634427802533,0.550234745736558,0.244130826460909
"7","CETN3",0.519603229582854,0.0942831021605619,0.386113668256584
"8","TPTE2P5",0.341904896277693,0.198822832159991,0.459272271562316
"9","OASL",0.157907174746681,0.403058334331677,0.439034490921642
"10","APLN",0.49505205127527,0.270274165210327,0.234673783514402
"11","STYXL1",0.454282855645178,0.256272227726822,0.289444916628
"12","TRMT1L",0.311043436074393,0.0570119030737253,0.631944660851882
"13","OMA1",0.498725466774013,0.166072410034267,0.33520212319172
"14","CMTM1",0.461745459547601,0.155247049303705,0.383007491148694
"15","PRR15L",0.0170048463852303,0.0939807398019953,0.889014413812774
"16","BCL3",0.336002327452973,0.0359766398656325,0.628021032681394
"17","PLAU",0.378240748171731,0.254924535079093,0.366834716749176
"18","ELL3",0.233875074759332,0.36550278385921,0.400622141381458
"19","BRCA1",0.376875303877113,0.201558571659238,0.421566124463649
"20","SEPT7P2",0.101440392468111,0.618959845541357,0.279599761990532
"21","CASP8",0.262356428410153,0.449426241736756,0.288217329853091
"22","C1orf21",0.37787712912035,0.32264990567765,0.299472965202
"23","C2orf42",0.334703399735492,0.304186294795649,0.361110305468859
"24","CABYR",0.193561489115227,0.120953018257414,0.685485492627359
"25","VSIG10L",0.0428636948248377,0.241072958975509,0.716063346199653
"26","ADM",0.20673531482884,0.380273594956514,0.412991090214646
"27","TFPI",0.274769861682007,0.43307109107652,0.292159047241473
"28","GRB10",0.245025989326359,0.378799863992059,0.376174146681583
"29","DDIT4",0.363641488377568,0.137526699025747,0.498831812596685
"30","YEATS2",0.47223115781771,0.175124736975095,0.352644105207195
