"","ProbeName","Amp","var_A_layer","var_A_subject","phase","var_phi_layer","var_phi_subject","magn","var_magn_layer","var_magn_subject","Symbol"
"1","A_24_P287941",0.249638687332305,0.000507778189114765,0.0172262108692275,1.44673722039837,0.00129048255503457,0.195614100990146,5.88924170547733,0.0109867821522765,0.0532401912903835,"PSMC3IP"
"2","A_24_P37441",0.307428660188453,0.000335721026036591,0.000662841244751018,-8.84620135962258,0.0038354383533269,0.186131596865904,8.4714951146994,0.657357614640243,0.0265836711876157,"PDK1"
"3","A_23_P129856",0.103386415458048,0.0254467887237026,3.89755613847734e-05,-1.45807591947779,1.62345736974508,0.378956686740005,5.65402171610011,2.41548903332158,0.0265674209815344,"HIC1"
"4","A_32_P16258",0.244689284362583,1.49446468832957e-09,0.0270675740730463,7.51463459204635,4.3760389056397e-09,0.0560853073387935,7.71792988153565,0.960208130030886,0.0728835500349847,"EXOC6B"
"5","A_24_P333567",0.233198677095298,0.00221386034554957,0.00074630402120272,-7.19996779498307,0.0633204819075134,0.214436619971621,6.73247730463836,0.0389245863193931,0.0148899718151265,"MAN1B1-DT"
"6","A_23_P203920",0.171566555115767,0.0156759272091548,0.00415515959300395,5.74757443872986,0.00233258574237931,0.0888607676117607,8.4881333725599,3.27780829250942,0.00816065780997737,"SSPN"
"7","A_23_P112554",0.130570989504138,0.00612733079136977,0.0029045977042728,8.0139950740646,0.656114400906922,1.22816960211649,6.5544086695515,9.46569185417329,0.0596650256900634,"COL15A1"
"8","A_23_P23639",0.236221858535355,0.00667913875544479,0.015933647280582,-9.15876741291142,0.101342315778315,0.108913291646392,5.67029229906754,0.000567093503397444,0.155700618375612,"MCOLN2"
"9","A_23_P89431",0.397689962370535,4.43760333881832e-11,0.0979867498345538,-0.840519451937119,1.40369216961438e-11,0.374013924246505,8.35806671132802,1.68217620566159,0.066414037762786,"CCL2"
"10","A_23_P206724",0.240099925273667,0.0214827570421541,0.00122434175450024,-11.8697617152971,0.000433568021006046,0.17928813179866,9.99858869707771,0.0023571599436498,0.0531718753705833,"MT1E"
"11","A_23_P150009",0.40197552909147,0.0065670348467721,0.0424011349716685,1.31863684457993,0.00525600209154639,0.00348013803777578,7.72151819320396,0.00670438443571779,0.0257878594219311,"ZDHHC16"
"12","A_23_P201939",0.167488701605846,0.0116155521902872,0.00193249313013887,1.273586850214,0.0496721204632028,0.0764792464826363,7.73101279407715,1.53815303299629,0.0139965868226854,"PPM1J"
"13","A_23_P214821",0.137661048631615,0.0210565196397142,0.00306203173659133,9.75301062459875,0.494387078614564,0.117329729845235,9.2875022626265,0.426419347377268,0.0578377134528278,"EDN1"
"14","A_23_P142187",0.104899862835179,0.0206506327389873,0.00012599324611256,9.86213739275499,1.14308556585451,0.0271464665871182,6.8770571844155,0.290814604297084,0.0275637686210453,"HIF3A"
"15","A_24_P353638",0.309080491418647,0.00230777094106409,2.73689396684488e-05,2.47244252452891,0.0422755430940947,0.000469617497656083,6.88550296707527,0.463522711044446,0.0866191638949454,"SLAMF7"
"16","A_23_P134454",0.112901654734711,0.00945846129435863,1.38866583570479e-05,2.34132300481872,0.789675544058771,0.00143482763101816,10.3026984187597,2.72642829443464,0.051606946141619,"CAV1"
"17","A_23_P7402",0.155304661789027,0.00922284126475926,0.00439495085066976,2.74557105673,0.292711431386933,0.0871255714400609,9.09711576659735,0.821529541710272,0.0331886939877549,"PDZD2"
"18","A_23_P160567",0.260337277079543,0.00212787887866129,0.0289487885034541,2.22335090925544,0.0191286157812063,0.0567574203355579,5.08537011822075,0,0.0202721841083035,"ZMYND12"
"19","A_24_P382489",0.264086122983016,0.00122593521020625,0.0132307442106854,2.62291897155283,0.0261574268287213,0.0474189499210294,10.3871371444675,0.96274282341325,0.0294393381457497,"SLC27A1"
"20","A_23_P163467",0.249158396257728,0.00113242323126301,0.007874231981312,2.89616179834666,0.0163609921860902,0.074169834466046,10.8004237778658,0.357442251526211,0.0469482188267847,"CCDC9B"
"21","A_23_P162874",0.283945290007537,0.00122926064158044,0.0049132129069165,4.07158514054782,0.00465627655834297,0.116747035772169,12.9147840664368,0.0024703069462105,0.0970220512390431,"HSP90AA1"
"22","A_23_P106973",0.145663995270113,0.0125727097036187,0.00559238592176337,-7.6195570323312,0.120727074101735,0.106586898779747,13.3006233856038,0.581764266254882,0.0302504730099197,"SEPT9"
