"","Symbol","Subject","Time","Residuals","ProbeName","EntrezID"
"1","ARNTL",0,0.800227322914771,0.199772677085229,"A_23_P162037","406"
"2","ABCC5",0.025973631131804,0.614202851686345,0.359823517181851,"A_23_P258221","10057"
"3","KLF8",0.105145178772581,0.584393998241149,0.31046082298627,"A_23_P217528","11279"
"4","PER3",0.0489564892360852,0.571543083267428,0.379500427496486,"A_24_P291231","8863"
"5","NFYA",0,0.566020278575109,0.433979721424891,"A_24_P414719","4800"
"6","SLC23A3",0.0162184819280808,0.565528549178007,0.418252968893912,"A_23_P28246","151295"
"7","EIF4A2",0.214632223868108,0.557602854800728,0.227764921331164,"A_23_P121250","1974"
"8","CNR1",0.211476808392215,0.556247793712264,0.232275397895521,"A_23_P214208","1268"
"9","TP53BP1",0.197100843345812,0.552466331532768,0.250432825121421,"A_23_P88703","7158"
"10","IRF7",0.0974170626917325,0.552207360912308,0.350375576395959,"A_24_P378019","3665"
"11","CYHR1",0.0939417198341731,0.541819258569686,0.364239021596141,"A_23_P318604","50626"
"12","ACR",0.0960814162670463,0.541632867734562,0.362285715998392,"A_32_P191262","49"
"13","RNF126",0.154898856674935,0.540331802080813,0.304769341244252,"A_23_P314086","55658"
"14","CSKMT",0.0967812844560094,0.537304753670412,0.365913961873578,"A_24_P804667","751071"
"15","ZNF404",0.181460597424926,0.532389972066772,0.286149430508302,"A_23_P90333","342908"
"16","OVGP1",0.230760291518854,0.592826781569771,0.176412926911376,"A_23_P103756","5016"
"17","RBM14",0.0267983459672241,0.626210307604471,0.346991346428304,"A_23_P150255","10432"
"18","ST7-AS1",0.000295332797652154,0.610091415315811,0.389613251886537,"A_32_P181297","93653"
"19","TTC32",0.175848120923504,0.574161779882079,0.249990099194417,"A_23_P119857","130502"
"20","ZBTB16",0.0349926357531511,0.679734874880986,0.285272489365863,"A_23_P104804","7704"
