"","ProbeName","Amp","var_A_subject","phase","var_phi_subject","magn","var_magn_subject","Symbol"
"1","A_24_P287941",0.181778459981031,0.00686389079851041,0.95630373052964,0.317443496550269,5.99885513350447,0.0605230350371975,"PSMC3IP"
"2","A_24_P37441",0.245064428035582,0.00674813963323272,-8.70959408997296,0.12298216603201,7.6525510350985,0.028340375400344,"PDK1"
"3","A_23_P129856",0.202698081661716,0.0115618756928414,7.51294672999702,0.463892346933405,6.74504321804055,0.0481824268336584,"HIC1"
"4","A_32_P16258",0.212750376788533,0.00226531464213733,-9.00081934770445,0.00114759387092659,6.53173410179596,0.00752605115079898,"EXOC6B"
"5","A_24_P333567",0.350986950422028,0.0106105138524115,-9.65666813289446,3.51804345947234e-05,5.64145266833406,0.162208715611845,"MAN1B1-DT"
"6","A_23_P203920",0.394326179779089,0.0819091076462798,-1.55720218663379,0.636709682823245,9.66557662320811,0.0203512607390953,"SSPN"
"7","A_23_P112554",0.300320621311641,0.00047634933381438,1.13449425591928,0.0109342491899367,7.64153081680768,0.00883864501747292,"COL15A1"
"8","A_23_P23639",0.325664353548238,0.00329693726503481,10.64373502564,0.778660284851756,9.93708534892689,0.0987401786830432,"MCOLN2"
"9","A_23_P89431",0.31582162061809,0.016833201092082,9.93105674658373,0.260846237710585,7.41215640436867,0.0589759139927948,"CCL2"
"10","A_23_P206724",0.210836248903265,0.00888011106043847,1.71451417116575,0.661983544394961,6.21736934979063,0.0824393330823685,"MT1E"
"11","A_23_P150009",0.162915890962805,0.00709104532446043,1.993509127446,0.128134024986564,5.07659576290318,0.0216548841437659,"ZDHHC16"
"12","A_23_P201939",0.210184142960193,0.00341404154454548,2.01398462988544,0.065647025865316,11.3715867088707,0.011785657385976,"PPM1J"
"13","A_23_P214821",0.226371000569164,0.0196284292118133,3.99116873769741,0.0901420544898282,10.2044890522347,0.0359849002255292,"EDN1"
"14","A_23_P142187",0.251367703333442,0.00309091304473851,3.47239079243716,0.115019962960673,12.8718560861306,0.105832069798305,"HIF3A"
"15","A_24_P353638",0.32069971611422,0.00333411544192294,0.66731722004536,0.00636248726110643,7.97799347271847,0.0081541989573178,"SLAMF7"
"16","A_23_P134454",0.24276029414428,0.000176698934388201,-7.9860622622556,0.198828923468461,7.44374441704179,0.0484135431996282,"CAV1"
"17","A_23_P7402",0.109026901223611,0.0278416166005109,-2.99071541852284,0.523160583254259,6.34671275241748,0.0920457116378318,"PDZD2"
"18","A_23_P160567",0.00907156700437572,0.0191653970503642,-6.40516169679019,93.1342074033532,8.32727317516579,0.106990937566748,"ZMYND12"
