Gene.Symbol,pval,fdr,fitmean,phase,rAMP,rsq
PER1,0,0,61.9671361038233,3.36759142522614,0.680133119807861,0.717845872921217
CIART,0,0,111.969651080241,2.99627164089859,0.661387770323918,0.765552449464487
FKBP5,0,0,384.987229991703,3.87544361411337,0.567071419065949,0.585586266845117
ARNTL,0,0,145.723748824997,0,0.468356421720824,0.552258538097553
PER3,0,0,449.804930524857,2.97490903948987,0.419750101523867,0.654268534223578
NR1D2,0,0,292.220909467722,2.8984430446616,0.336191089769682,0.60179021685444
TEF,0,0,220.974718709794,2.93046949902453,0.323848689461043,0.700320192756219
DBP,7.28306304154103e-14,1.77408408951073e-10,34.4701740456754,2.75750998392364,0.376407400578874,0.501385660581554
NR1D1,7.94919685631612e-14,1.77408408951073e-10,30.7408221616545,2.61419517040378,0.442636743252416,0.369480344121995
C2CD4B,6.50079989839014e-12,1.30575066759064e-08,36.3494840708914,6.08442556657693,0.448398929577602,0.370613966250068
TRIM35,7.63811236481615e-12,1.39471931781543e-08,122.445708364915,3.75910988657251,0.191877516288685,0.395703384315135
FAM117A,3.51860762748402e-11,5.88956273380366e-08,158.268646460109,2.6757599797124,0.204798524788038,0.318282770751752
GALNT11,3.91924270815025e-11,6.05553146430046e-08,340.275354451743,2.99649858825261,0.108352004665748,0.380353614383105
FUS,5.82627279754888e-11,8.35903681511192e-08,859.152007247588,2.92844705027067,0.100023059578045,0.302663674965025
TSC22D3,6.73470168521817e-11,9.01821453661948e-08,286.049284878729,3.73958010907413,0.24021928154109,0.370485704627108
HLF,2.20955920227084e-10,2.77382538355075e-07,177.961153410742,2.92380722043094,0.213803288519028,0.434099062774588
FAM46B,6.77099487589317e-10,8.00012959277589e-07,1619.28736323451,3.03202943667145,0.160718067648781,0.301122263857004
PIK3IP1,1.79448289561179e-09,2.00244352451436e-06,154.698202587834,2.73071907852653,0.229198373082147,0.282082769256634
NFIL3,1.14832627851058e-08,1.15326408150818e-05,136.906707972328,5.70986567032203,0.449221201002961,0.29834970261191
THRA,1.36761691971188e-08,1.3080930213968e-05,134.512310516589,2.7523657909745,0.157129797482706,0.296751882844313
KLF9,1.44714329408657e-08,1.32124182750104e-05,230.749226707921,3.5319393424114,0.257041898190337,0.335260613326147
ZBTB16,1.95763691923645e-08,1.70961283303406e-05,26.916999084075,3.9849631459746,0.808608963641402,0.352304037347746
IFFO2,2.10525195054601e-08,1.76192044494446e-05,1015.37716828387,3.23456885051032,0.162701823512577,0.361857074073632
TMCC3,3.13619616942873e-08,2.51974545036582e-05,105.599680194662,6.05336739306217,0.137215582443983,0.200757401171917
XPR1,3.79244045056737e-08,2.92980611115755e-05,76.2550378190803,2.8699458807025,0.179231922570695,0.300013815467599
TMEM263,8.81399347951728e-08,6.322781179628e-05,47.0183478070698,6.2770947334388,0.251318993647572,0.309165949625273
NPAS2,2.24730649756033e-07,0.000150464661033323,41.2934426514545,0.267409334539106,0.280258838455859,0.317985019303541
RDH12,4.67967998352137e-07,0.00030321307144842,446.786936408637,5.86386656214186,0.151428413902861,0.283220546952803
FDFT1,8.38817119985791e-07,0.000526515021001081,932.44492723631,3.06213355453526,0.1175154846435,0.291757931487233
ATXN1,1.45850570110184e-06,0.000887743803403988,45.9737393038228,2.87286989672638,0.133222687178457,0.222368857811898
