"","ProbeName","Amp","var_A_T","var_A_S","phase","var_phi_T","var_phi_S","magn","var_magn_T","var_magn_S"
"1","A_24_P287941",0.238885849966877,0.00372699271058565,0.0193266696482047,5.72960249006424,0.00150436076744137,0.298083813008495,5.8894116269701,0.0129640478457644,0.0533798663438926
"2","A_24_P37441",0.316859920516723,0.00471081943087509,0.00198501710435856,-4.57144837064036,0.00140893495994463,0.106237289808017,8.4722833623147,0.67037927538274,0.0269888119686197
"3","A_23_P129856",0.108984583003625,0.0139180604711472,3.21197830473778e-05,2.67222459838419,2.77756705510868,0.141790438599543,5.6546230232976,2.4282528154044,0.0268961306973148
"4","A_32_P16258",0.250428779326,0.00211151968719862,0.0263572071858865,11.6000670996834,0.000388106323031133,0.0183649924695984,7.7172329402983,0.954153409173855,0.0733600085797127
"5","A_24_P333567",0.236954533278115,0.00262532335601092,0.000510759949561032,-2.88680781730589,0.147850147812199,0.152404672179021,6.73294310623525,0.03982965142915,0.0147655772290258
"6","A_23_P203920",0.177296287878953,0.019005873249396,0.0017351368986229,9.76587262691808,0.0307996665091652,0.0217588860751404,8.48682605372889,3.28736148092821,0.00821355669253333
"7","A_23_P112554",0.127938846906884,0.0226452226610912,0.00423763263033402,-11.5916161177389,0.254479105481941,1.31510136062047,6.55405483303505,9.48556395069688,0.0576553928766118
"8","A_23_P23639",0.220524357101433,0.00989920212981071,0.0144014466054566,-4.81296323934852,0.0462230626626082,0.228090261914823,5.67019198800851,0,0.155471209403392
"9","A_23_P145761",0.204335649900719,0.00236458537750987,0.0186069872277464,3.85863175632483,0.159317213606514,0.0500587508510992,8.68861666943122,0.220890829691905,0.0533475829893214
"10","A_23_P89431",0.421131887432094,2.63635189139812e-05,0.100272235994875,3.23003701186374,0.0476461787385452,0.245160445824433,8.3584926275682,1.71025731698529,0.0670282874200658
"11","A_23_P206724",0.250419635437965,0.0248118048384012,0.00403570663184013,-7.62743463032863,1.53394691141053e-05,0.0559116703852728,9.9991243245737,0.00223525818086927,0.0521934816855642
"12","A_23_P150009",0.410412405354683,0.00851834094195629,0.0399975706360203,5.55259183334294,0.00125949784663779,0.00604555140194529,7.71958432479784,0.00572031361650373,0.0252823378719793
"13","A_23_P201939",0.15953810601736,0.0134028475311994,0.000643882136440657,5.4678443476019,0.0610379823318427,0.153683476332089,7.73102084605494,1.53282960418614,0.0135548165266076
"14","A_23_P214821",0.125442567420097,0.031773876623844,0.00371077984686734,-9.80683596859645,0.253344223037542,0.135917229054408,9.2883574929446,0.42433321126542,0.0582205851918664
"15","A_23_P142187",0.11236435615718,0.0416381989122306,0.000414119108412162,-10.3462436595268,0.0460858455553651,0.0257027483487427,6.87511926423571,0.288008178307479,0.0266957122472615
"16","A_24_P353638",0.30300052272933,0.012858815633718,3.10547781659372e-06,6.88694932940987,0.0105737310030749,0.0015870636187198,6.88476587293919,0.450010798520145,0.0848311127302068
