"","Symbol","tissue","subject","tissue.outphase","tissue.inphase","subject.outphase","subject.inphase","Residuals"
"1","PSMC3IP",0.251898657027371,0.151802536328612,0.151108804237182,3.4900144187426e-05,0.0517259493136471,0.054343577262545,0.339085575686455
"2","PDK1",0.973140951180649,0.00309320732694832,0.0104575371083871,0.00139177698652014,1.13280474763204e-05,0.0014398499343353,0.0104653494156836
"3","HIC1",0.91500347801618,0.00955818543691498,0.0181849237626539,0.00105263767176964,0.000255605153320514,0.000442295282521871,0.0555028746766387
"4","EXOC6B",0.974384965367935,0.00775834531030581,4.79371131408816e-05,0.00566356640210243,0.00018619450862819,0.0028012510063255,0.00915774029156234
"5","MAN1B1-DT",0.451564962245689,0.0441780706729369,0.0702933375068711,0.119119560486611,0.0218648426529209,0.00654504974992025,0.286434176685051
"6","SSPN",0.972161738343006,0.00109669713448982,0.00151004384302151,0.00525579889436909,4.45901760480262e-06,0.000309198837008995,0.0196620639304995
"7","COL15A1",0.980570445826673,0.00402701893618425,0.000470876711539592,0.00255498156561974,0.00167085924796387,0.000152384304656207,0.0105534334073634
"8","MCOLN2",0.00911183172397876,0.408270052407722,0.140131562580886,0.00498091838020824,0.0528524951646556,0.0183267931061083,0.366326346636441
"9","ARL4A",0.558741417230419,0.114868538088224,0.049267460601302,0.0401219190274947,0.0342893297133756,0.0164281198607195,0.186283215478465
"10","CCL2",0.752044839343564,0.024222950311665,0.0262452796377902,0.0255179846807549,0.0514261617241095,0.00450879118736203,0.116033993114755
"11","MT1E",0.0255032255295442,0.20526471445622,0.279824760575488,0.0596710404526837,0.0247301349843825,0.0053184793154172,0.399687644686264
"12","ZDHHC16",0.141653528102216,0.0596346465338737,0.378910453139603,0.00480184463606356,0.0979232392305085,0.00014390665876547,0.316932381698969
"13","PPM1J",0.967719092515003,0.0035025200969416,0.00927098888974032,0.000854203823265323,0.000222561135256117,0.00133555536553891,0.0170950781742543
"14","EDN1",0.630772321750434,0.0671293255668335,0.0311485838742572,0.0265954103220553,0.00589823912308844,0.000817425456810714,0.237638693906521
"15","HIF3A",0.630989676395822,0.0468917743380166,0.0241387351529391,0.0719038962864572,0.00108257010118804,0.000215722227216513,0.22477762549836
"16","SLAMF7",0.861576406184142,0.0313674488159683,0.0357515528983322,0.0028411158581601,4.56533418272058e-06,4.23597706246455e-05,0.0684165511385901
"17","PDZD2",0.909472581153068,0.0192045671584505,0.0225644332009962,0.000136273551020102,0.00488333110482427,0.0017012495511527,0.0420375642804882
"18","ZMYND12",0,0.0655764485616642,0.203573438992006,0.00439324314518073,0.0930791939972105,0.0140931469500841,0.619284528353855
"19","SLC27A1",0.981589917367005,0.00284087957782105,0.00580572094901193,0.000535009894465045,0.000876712197473355,0.00100684299094477,0.00734491702327919
"20","CCDC9B",0.863186438512534,0.0317087573515141,0.0392566554809369,0.00420245085839563,0.00390150760993744,0.00371776146723585,0.0540264287194466
"21","HSP90AA1",0.0889671028499117,0.356190805586757,0.20716592413618,0.118924569807314,0.00645353128833644,0.0317510650357706,0.19054700129573
