ProbeName,Symbol,amplitude,variance_amp_layer,sd_amp_layer,cv_amp_layer,variance_amp_subj,sd_amp_subj,cv_amp_subj,phase,variance_phase_layer,sd_phase_layer,cv_phase_layer,variance_phase_subj,sd_phase_subj,cv_phase_subj,magnitude,variance_magn_layer,sd_magn_layer,cv_magn_layer,variance_magn_subj,sd_magn_subj,cv_magn_subj
A_24_P287941,PSMC3IP,0.249638687332305,0.000507778189115,0.022533934168599,0.090266193951755,0.017226210869228,0.131248660447364,0.525754488817085,1.44673722039837,0.001290482555035,0.035923287085602,0.001496803628567,0.195614100990146,0.442282829183031,0.01842845121596,5.88924170547733,0.010986782152277,0.104817852259415,0.017798191601124,0.053240191290384,0.230738361115753,0.039179638509514
A_24_P37441,PDK1,0.307428660188453,0.000335721026037,0.01832269156092,0.05959981593677,0.000662841244751,0.025745703423115,0.083745293647422,-8.84620135962258,0.003835438353327,0.061930915973582,0.002580454832233,0.186131596865904,0.431429712544122,0.017976238022672,8.4714951146994,0.657357614640243,0.810775933683433,0.095706356753557,0.026583671187616,0.163044997432045,0.019246307201327
A_23_P129856,HIC1,0.103386415458048,0.025446788723703,0.15952049624955,1.54295412547966,3.89755613847734E-05,0.006243041036608,0.060385506248076,-1.45807591947779,1.62345736974508,1.27414966536317,0.053089569390132,0.378956686740005,0.615594579849437,0.025649774160393,5.65402171610011,2.41548903332158,1.55418436271942,0.274881215665268,0.026567420981534,0.162995156313108,0.028828180098596
A_32_P16258,EXOC6B,0.244689284362583,1.49446468832957E-09,3.86583068476824E-05,0.000157989373946,0.027067574073046,0.164522260114084,0.672372149612785,7.51463459204635,4.3760389056397E-09,6.61516356988979E-05,2.75631815412074E-06,0.056085307338794,0.236823367383359,0.00986764030764,7.71792988153565,0.960208130030886,0.979902102268837,0.126964369631441,0.072883550034985,0.269969535383133,0.034979526832578
A_24_P333567,MAN1B1-DT,0.233198677095298,0.00221386034555,0.047051677393581,0.201766485040361,0.000746304021203,0.027318565504117,0.117147171863899,-7.19996779498307,0.063320481907513,0.251635613352946,0.010484817223039,0.214436619971621,0.463073017969759,0.019294709082073,6.73247730463836,0.038924586319393,0.197293148181565,0.029304688193399,0.014889971815127,0.122024472197697,0.018124750619453
A_23_P203920,SSPN,0.171566555115767,0.015675927209155,0.125203543117417,0.729766608841296,0.004155159593004,0.064460527402465,0.375717326485744,5.74757443872986,0.002332585742379,0.048296850232487,0.002012368759687,0.088860767611761,0.298095232453927,0.01242063468558,8.4881333725599,3.27780829250942,1.81047184250665,0.213294462167556,0.008160657809977,0.090336359291137,0.010642664921262
A_23_P112554,COL15A1,0.130570989504138,0.00612733079137,0.078277268675969,0.599499697239315,0.002904597704273,0.053894319777439,0.412758760442192,8.0139950740646,0.656114400906922,0.810008889399939,0.033750370391664,1.22816960211649,1.10822813631332,0.046176172346388,6.5544086695515,9.46569185417329,3.07663645141464,0.469399545638214,0.059665025690063,0.244264253811448,0.037267168729679
A_23_P23639,MCOLN2,0.236221858535355,0.006679138755445,0.081725998038842,0.345971361607123,0.015933647280582,0.126228551764575,0.534364400260116,-9.15876741291142,0.101342315778315,0.318343078734743,0.013264294947281,0.108913291646392,0.330020138243702,0.013750839093488,5.67029229906754,0.000567093503397,0.02381372510544,0.004199735013547,0.155700618375612,0.394589176708652,0.069588859955869
A_23_P89431,CCL2,0.397689962370535,4.43760333881832E-11,6.66153386152042E-06,1.6750570775819E-05,0.097986749834554,0.313028353084116,0.787116554861552,-0.840519451937119,1.40369216961438E-11,3.74658800725991E-06,1.5610783363583E-07,0.374013924246505,0.611566778239715,0.025481949093322,8.35806671132802,1.68217620566159,1.29698735755658,0.155177914026304,0.066414037762786,0.257709211637431,0.030833591132761
A_23_P206724,MT1E,0.240099925273667,0.021482757042154,0.146569973194219,0.610454055856777,0.0012243417545,0.034990595229293,0.145733469885136,-11.8697617152971,0.000433568021006,0.020822296247197,0.000867595676967,0.17928813179866,0.423424292877322,0.017642678869888,9.99858869707771,0.00235715994365,0.048550591589082,0.004855744451542,0.053171875370583,0.2305902759671,0.023062282383362
A_23_P150009,ZDHHC16,0.40197552909147,0.006567034846772,0.081037243578321,0.201597454853727,0.042401134971669,0.205915358756137,0.512258443247874,1.31863684457993,0.005256002091546,0.072498290266367,0.003020762094432,0.003480138037776,0.058992694783132,0.002458028949297,7.72151819320396,0.006704384435718,0.081880305542406,0.010604171808398,0.025787859421931,0.160585987626353,0.020797203815137
A_23_P201939,PPM1J,0.167488701605846,0.011615552190287,0.107775471190282,0.643479053553782,0.001932493130139,0.043960131143331,0.262466248301233,1.273586850214,0.049672120463203,0.222872430917785,0.009286351288241,0.076479246482636,0.276548813923756,0.011522867246823,7.73101279407715,1.53815303299629,1.24022297712802,0.160421798561525,0.013996586822685,0.118307171476143,0.015302933086177
A_23_P214821,EDN1,0.137661048631615,0.021056519639714,0.14510864770824,1.05410099044469,0.003062031736591,0.055335628094306,0.4019701189578,9.75301062459875,0.494387078614564,0.703126644790655,0.029296943532944,0.117329729845235,0.342534275431284,0.014272261476304,9.2875022626265,0.426419347377268,0.653007922905433,0.0703103917975,0.057837713452828,0.240494726455338,0.025894446069004
A_23_P142187,HIF3A,0.104899862835179,0.020650632738987,0.143703280195642,1.36990913345075,0.000125993246113,0.011224671314233,0.10700367961271,9.86213739275499,1.14308556585451,1.06915179738637,0.044547991557766,0.027146466587118,0.164761848093296,0.006865077003887,6.8770571844155,0.290814604297084,0.539272291423437,0.078416141812157,0.027563768621045,0.166023397812011,0.024141634039084
